month,year,oilCompanies,quantity000MetricTonnes
April,2023,"IOCL-BARAUNI,BIHAR",546.51
April,2023,IOCL TOTAL,6037.64
April,2023,ONGC TOTAL,1475.55
April,2023,RIL TOTAL,5355.74
May,2023,"IOCL-MATHURA, UTTAR PRADESH",833.52
May,2023,"IOCL-PANIPAT, HARYANA",1263.15
May,2023,"IOCL-BONGAIGAON,ASSAM",257.9
May,2023,"CPCL-MANALI, TAMILNADU",941.28
May,2023,"BPCL-MUMBAI, MAHARASHTRA",1332.15
May,2023,"BPCL-KOCHI, KERALA",1464.34
May,2023,"NRL-NUMALIGARH, ASSAM",61.3
May,2023,"HPCL-VISAKH,ANDHRA PRADESH",1066.12
June,2023,"IOCL-HALDIA, WEST BENGAL",691.68
June,2023,"IOCL-MATHURA, UTTAR PRADESH",808.16
June,2023,"IOCL-BONGAIGAON,ASSAM",251.25
June,2023,"CPCL-MANALI, TAMILNADU",816.58
June,2023,CPCL-TOTAL,816.58
June,2023,"BPCL-KOCHI, KERALA",1467.81
June,2023,HPCL-TOTAL,2922.02
July,2023,"IOCL-BARAUNI,BIHAR",559.56
July,2023,"IOCL-HALDIA, WEST BENGAL",677.19
July,2023,"IOCL-PARADIP,ODISHA",1394.49
July,2023,"BPCL-KOCHI, KERALA",1389.29
July,2023,BPCL-TOTAL,2805.32
July,2023,"HPCL-MUMBAI,MAHARASHTRA",892.93
August,2023,"IOCL-BARAUNI,BIHAR",590.77
August,2023,"IOCL-GUWAHATI,ASSAM",94.25
August,2023,"IOCL-BONGAIGAON,ASSAM",254.94
August,2023,CPCL-TOTAL,1000.38
August,2023,"BPCL-MUMBAI, MAHARASHTRA",1386.54
August,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",5.03
August,2023,"HPCL-MUMBAI,MAHARASHTRA",785.24
August,2023,"NEL-VADINAR,GUJARAT",1727.11
September,2023,"IOCL-BARAUNI,BIHAR",529.03
September,2023,"IOCL-PANIPAT, HARYANA",1194.47
September,2023,"CPCL-MANALI, TAMILNADU",1007.97
September,2023,"MRPL-MANGALORE,KARNATAKA",764.9
September,2023,GRAND TOTAL,20288.5
October,2023,"IOCL-HALDIA, WEST BENGAL",674.35
October,2023,"IOCL-BONGAIGAON,ASSAM",257.97
October,2023,CPCL-TOTAL,1007.23
October,2023,"NRL-NUMALIGARH, ASSAM",285.83
